name,id,tags,planetary,decivRemove,script,desc,icon,order
Degenerate Subpopulation,sol_degenerate_subpop,,,,soljars.econ.conditions.DegenerateSubpop,,graphics/icons/markets/degenerate_subpop.png,3011
Pre-Domain Sapience,sol_pre_domain_sapience,,TRUE,,soljars.econ.conditions.PreDomainSapience,"Deep below the icy shell of Biden, in the pelagic depths of its subsurface oceans, where the light of Sol has never shown, something lurks. 
Domain research notes this ""entity"" has eluded all attempts at close observation, but the effects of proximity have been carefully documented, the most alarming being sleepiness and forgetfulness.
The entity dates to an unknown past - it outlasted the glory of the domain, and it will outlast you.",graphics/icons/markets/pre_domain_sapience.png,3012
,,,,,,,,
Automated Habitats,sol_automated_habitats,,TRUE,,soljars.econ.conditions.AutomatedHabitats,"Abandoned in the flight sunwards, the sprawling ruins on $market lie remarkably pristine. They are free from the obvious signs of struggle or desperation that scar the rest of the system. ",graphics/icons/markets/sol_automated_habitats.png,3014
,,,,,,,,
Unpronounceable,sol_unpronounceable,,TRUE,,soljars.econ.conditions.Unpronounceable," The name of $market is effectively unpronounceable in the dialects of the Persean Sector. Usually, this would be a triviality, but a strict phonetic enforcement system was installed prior to the colony's abandonment. As a result colonists hoping to make use of surviving infrastructure must learn to pronounce the name correctly or face severe automated reprisal.",graphics/icons/markets/sol_unpronounceable2.png,3016
,,,,,,,,
Magnetic Focusing Infrastructure,sol_antimatter_infrastructure,,,,soljars.econ.conditions.AntimatterInfrastructure,$market has giant magnetic focusing gantrys that harness the intersecting magnetic field of $market's parent to restrain antiprotons and positrons for antimatter refinement. ,graphics/icons/markets/antimatter_infrastructure.png,3018
Ancient Drug Lab,sol_ancient_drug_lab,,,,soljars.econ.conditions.AncientDrugLab," Prior to the collapse of Sol, this secluded market hosted clandestine laboratories manufacturing designer narcotics for the system's elite. While the physical equipment has been ruined by radiation, time, and looting, the chemical formulas survive. Many of the synthetic compounds originally developed here are unique, offering the potential to manufacture a high found nowhere else in the Sector.",graphics/icons/markets/ancient_drug_lab.png,3019
Domain Orbital Manufactories,sol_ancient_orbital_manufactories,,,,soljars.econ.conditions.AncientOrbitalManufactories,"A standard-issue Domain production node orbits $market. Even after centuries of cannibalism and desperate refits, the core variable-g assembly systems remain superior to anything in the modern Sector.",graphics/icons/markets/sol_ancient_orbital_manufactories.png,3020
Penal Colony,sol_penal_world,,,,soljars.econ.conditions.PenalWorld," Deep below the crushing Venusian skies lies a re-education and training camp that, should the records be believed, prided itself on a sub-single digit survival rate. This facility functioned as a crucible for the condemned, designed to forge elite shock troops through a curriculum so harrowing that it was indistinguishable from systematic execution.",graphics/icons/markets/mercenaries.png,3021
Domain Organ Cloning Complex,sol_organ_complex,,,,soljars.econ.conditions.OrganComplex,"Deep beneath the surface of $market lies a hidden Domain facility, its existence scrubbed from all public registries. Intended as a black-site for organ replication and genetic research, the complex remained dark and sealed throughout the collapse of the gates and the chaos of the system's government.",graphics/icons/markets/organ_complex.png,3022
Orbital Fleetworks,sol_orbital_fleetworks,,,,soljars.econ.conditions.OrbitalFleetworks," A routine maintenance depot converted into a production facility. While large sections of the gantry are irrecoverable, the core modules still function, capable of churning out ships en masse.",graphics/icons/markets/sol_orbital_fleetworks.png,3023
,,,,,,,,
Meteoroid Impacts,sol_meteoroids,,TRUE,,soljars.econ.conditions.Meteoroids,"This world is peppered by sporadic meteoroid impacts. While far from a constant bombardment, any human inhabitant would do well to respect the orbital tracking data. Permanent installations need not be buried, but hardened superstructures and point-defense batteries are highly recommended.",graphics/icons/markets/meteoroids.png,34
Distant,sol_dist_distant,,,,soljars.econ.conditions.DistDistant,"$market is off the beaten path.
Supplying it is an annoying task for quartermasters.",graphics/icons/markets/dist_0_distant.png,10000
Abyssal,sol_dist_abyssal,,,,soljars.econ.conditions.DistAbyssal,"$market is extremely isolated. 
Crews are unsettled by the moonlight of the sun, shipments to Market must pack for the return journey, and piracy is not unknown, insurance is costly in this region.",graphics/icons/markets/dist_1_abyssal.png,10000
Hadal,sol_dist_hadal,,,,soljars.econ.conditions.DistHadal,"$market is in permanent night.
Crews are uncomfortable being this far, quartermasters stress over logistics, and escort is considered necessary for transit and insurance.",graphics/icons/markets/dist_2_hadal.png,10000
Erebal,sol_dist_erebal,,,,soljars.econ.conditions.DistErebal,"$Market's star looks like a bright space station.
Out many things go ""bump"" in the permanent night. Too many things, yet nothing for millions of kilometers.
Crews expect hazard pay as quartermasters pack months of supplies and captains pray this voyage isn’t one that will vanish without a trace. Merchants who dare deliver to $market do not bother with escorts or insurance.",graphics/icons/markets/dist_3_erebal.png,10000
Tatarean,sol_dist_tartarean,,,,soljars.econ.conditions.DistTartarean,"$Market is beyond all sane consideration

""The ships shriek in the eternal night 
screaming of heat, screaming of light, 
until screaming on comms, 
and return to peaceful night.""",graphics/icons/markets/dist_4_tartarean.png,10000
Oortal,sol_dist_oortal,,,,soljars.econ.conditions.DistOortal,"Humanity, even at its peak was simply hopping from one pinprick to another.
There probably is a reason why your tri-pad usually crops out this region, and you should probably head its implicit warning.",graphics/icons/markets/dist_5_oortal.png,10000
,,,,,,,,
Extremophilic Bioweapon,sol_loose_bioweapon,,,,soljars.econ.conditions.LooseBioweapon," A crudely engineered symbiosis between archaean extremophiles and a viral payload allows a lethal bioweapon to persist within the frozen regolith of $market. While quiescent in the ice, the pathogen reactivates upon thawing. Consequently, even a boot scuff on the regolith requires bio-containment protocols, as without a vaccine or cure, the very ground is liable to wake up and kill the workforce.",graphics/icons/markets/xenoplague.png,3031
Unexploded Ordnance,sol_unexploded_ordnance,,,,soljars.econ.conditions.UnexplodedOrdnance,"$market is saturated with primitive ordnance. They slumber preserved beneath the regolith, waiting to turn a colonist from biology into physics.",graphics/icons/markets/sol_unexploded_ordnance.png,3032
,,,,,,,,
,,,,,,,,
Pond Scum,sol_pond_scum,,TRUE,,soljars.econ.conditions.PondScum,"An accidental byproduct of orbital bombardment, the biosphere of $market lacks complex life, or ecological balance. The world ocean is choked by a matted supercolony of domain microbes, the atmosphere too thinly oxygenated to be breathable.",graphics/icons/markets/sol_pond_scum.png,33
Dust Storms,sol_dust_storms,,TRUE,,soljars.econ.conditions.DustStorms,"The surface of $market is regularly swept by choking, static-charged dust storms. While rarely powerful enough to threaten structural integrity, the abrasive grit wreaks havoc on precision sensors and unshielded machinery. Colonists must endure long periods of poor visibility, and rigorous filtration protocols are required to keep atmospheric intakes clear.",graphics/icons/markets/dust_storm.png,3044
,,,,,,,,
Restored Hyperenergetic Megaforges,sol_megaforges_hyperenergetic_complete,,,,soljars.econ.conditions.MegaforgesHyperenergeticComplete,"The colossal circulatory network of $market, once a leaking hazard, now pulses with the controlled flow of superheated metal vapor. Containment fields hum with terrifying energy, channeling the facility's immense heat into productive output rather than waste. While the hull still bears the scars of centuries of neglect, the core functions with a terrifying, limitless efficiency, capable of swallowing raw ore and spitting out refined alloys at a scale beyond any facility in the persean sector.",graphics/icons/markets/megaforges_hyperenergetic.png,3039
HyperenergeticMegaforges,sol_megaforges_hyperenergetic,,,,soljars.econ.conditions.MegaforgesHyperenergetic,"$market is essentially one giant circulatory network, but rather than air, the pipes carry a superheated vapor of metals and transplutonics. Judging by the sheer scale of the infrastructure, it was likely once capable of refining the entire output of a solar system in an incredibly fast, if energy-inefficient, process. 
The structure has seen better days. The superstructure is warped by centuries of thermal stress, hastily built auxiliary forges scar the hull, and a scattered ring of burnt-off insulation ceramic inhabits the vicinity. Nevertheless, the core remains ""functional"" - even if, behind the blackened remnants of heat shielding, the temperature is scorching, and the halls are filled with an accretion of lethal heavy metal dust.",graphics/icons/markets/megaforges_hyperenergetic.png,3040
Restored Megaforges,sol_megaforges_complete,,,,soljars.econ.conditions.MegaforgesComplete,"The heavy infrastructure has been forced back to life. Through a patchwork of scavenged tech and crude overrides, the industrial rail networks and forges run once more. It is a shadow of its original design, but a functional one, processing vast quantities of ore through sheer mechanical scale.",graphics/icons/markets/sol_megaforges.png,3041
Megaforges,sol_megaforges,,,,soljars.econ.conditions.Megaforges,"Vast smelting complexes, industrial rail networks, and refinement arrays built long ago for processing metals and transplutonics dominate $market.",graphics/icons/markets/sol_megaforges.png,3042
Mapped Insurgent Network,sol_insurgent_network_mapped,,,,soljars.econ.conditions.InsurgentNetworkComplete,"The thousands of kilometers of tunnels honeycombing the crust of $market have been systematically mapped and secured. No longer a hiding place for asymmetric warfare, the ancient workshops and command hubs have been repurposed, granting the colony access to sub-surface industrial facilities of peerless quality.",graphics/icons/markets/sol_insurgent_network_mapped.png,3033
Ancient Insurgent Network,sol_insurgent_network,,,,soljars.econ.conditions.InsurgentNetwork,"In the final cycles of a unified Sol an entrenched asymmetric campaign was waged by the inhabitants of $market against the Sol. As a result, the crust of $market is honeycombed with thousands of kilometers of insurgent tunnels, coalescing in nerve bundles of command hubs, living areas, and weapons workshops. Despite the utilitarian nature of their construction, these facilities have lasted the test of time and outshine anything the Sector is currently capable of building.",graphics/icons/markets/sol_insurgent_network2.png,3034
Monument To The Fallen,sol_monument_fallen,,,,soljars.econ.conditions.MonumentFallen,"A sculpture welded together by a particularly inspired member of $market's cleanup crew now stands in the city center. It serves as a monument to the fallen, erected in hopes of inspiring others to go make more fallen.",graphics/icons/markets/sol_monument_to_the_fallen.png,3035
Desperate Embattlements,sol_insurgent_network_desperate,,,,soljars.econ.conditions.InsurgentNetworkDesperate,"Primitive embattlements scar the surface of $market, painting a grisly scene of desperate defense. While the planet-spanning battlefield is largely inert, the constant scenes of destruction, desperation, and death will leave anyone who lingers in the foreground disturbed.",graphics/icons/markets/insurgent_network_desperate.png,3036
,,,,,,,,
Space Elevator,sol_space_elevator,,TRUE,,soljars.econ.conditions.AccessCondition,"By counteracting gravity with centripetal force, $market has maintained a Fullerene cable that is held in tension, extending from the planet like a rope ladder down a crevasse. Cargo can detach from the ends of $market with extreme velocity and transfer anywhere in the Sol system. Makes interplanetary shipping extremely cheap.
Automated anti-sabotage nanoware prevents safe despooling of the cable.",graphics/icons/markets/space_elevator.png,3046
Orbital Ring,sol_orbital_ring,,TRUE,,soljars.econ.conditions.AccessCondition,"A continuous, rigid Fullerene lattice encircles $market in geostationary orbit, tethered to the surface by a network of elevators. This ring acts as a massive, decentralized port, allowing ships to dock without entering the gravity well. Integrated mag-lev rails run the length of the circumference, accelerating cargo to escape velocity and allowing for high-volume, reactionless launches.",graphics/icons/markets/orbital_ring.png,3047
Inter-Binary Elevator,sol_inter_binary_elevator,,TRUE,,soljars.econ.conditions.AccessCondition,"A fullerene tether physically connects two tidally locked binaries, providing easy access between them. In addition a large habitat lies at the center providing living space for colonists.",graphics/icons/markets/sol_inter_binary_elevator.png,3048
Space Ladder,sol_space_ladder,,TRUE,,soljars.econ.conditions.AccessCondition,"Unlike a true space elevator, $market's fullurene tether is held up by the gravity of it's parent or binary pulling down on it rather than by  the centrepetal force from rotation. This alows cargos to easily be brought into orbit, but does not have the speed to help with interplanetary transfers.
Automated anti-sabotage nanoware prevents safe despooling of the cable.",graphics/icons/markets/space_ladder.png,3049
Nearby Space Elevator,sol_space_elevator_nearby,,,,soljars.econ.conditions.AccessCondition,"A space elevator operates on a nearby world. The resulting concentration of shipping and infrastructure benefits the economy of the entire local planetary system, including $market.",graphics/icons/markets/space_elevator_nearby.png,3050
Nearby Jump Point,sol_jump_point_nearby,,,,soljars.econ.conditions.AccessCondition,"$market is located in close proximity to a stable jump point. This grants the colony exceptional access to the hyperspace network, facilitating rapid trade and logistics.",graphics/icons/campaign/slipstream_fuel.png,3051
Tidally Locked,sol_tidal_lock,,TRUE,,soljars.econ.conditions.AccessCondition,"$market is tidally locked to its parent, limiting the benefit a fullerene spool can provide.",graphics/icons/markets/sol_tidal_lock.png,3052
Chaotic Rotator,sol_chaotic_rotator,,TRUE,,soljars.econ.conditions.AccessCondition,"The axial tilt and rotational period of $market is forever uncertain, dependant on the chaos of three-body and non point-mass mechanics.",graphics/icons/markets/chaotic_rotator.png,3053
,,,,,,,,
Circumstellar,sol_circumstellar,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market is beyond the heliopause of Sol, exposing it to interstellar radiation and making it - according to the Galatian definition - not in any system.",graphics/icons/markets/circumstellar.png,29
Extreme Radiation,sol_irradiated_extreme,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market is regularly autoclaved by the EM spectrum and high energy particles. While shielding can help, there must always be a hole for sensors. 
Any outside work that must be conducted on $market comes with the careful consideration of whether a simplistic mechanical robot can do it, a sacrificial automaton can do the job, or a, by comparison, radiation resistant human must step forth unto the autoclave.",graphics/icons/markets/irradiated_extreme.png,29
Ice Storms,sol_ice_storms,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"While the air of $market is breathable, the surface remains too cold and barren for plant life to take hold. As a result, the landscape is regularly swept by dense, swirling ice storms. While the rounded crystals are generally non-abrasive to shielding and machinery, the rapid accumulation of frost can still foul unheated sensors. Colonists must endure long periods of poor visibility, though simple thermal cycling is usually sufficient to keep atmospheric intakes clear.",graphics/icons/markets/ice_storm.png,3055
,,,,,,,,
,,,,,,,,
Hunter-Killer Drones,sol_ai_terminators,,,,soljars.econ.conditions.AITerminators,"Ancient self-replicating Hunter-Killer drones infest the surface of $market, devolved by centuries of isolation into feral, inbred simulacra of the original designs. Though cobbled from scrap and glitch-ridden, their core extermination directives remain absolute and extremely dangerous.",graphics/icons/markets/ai_terminators.png,3058
AI freedom Fighters,sol_ai_freedom_fighters,,,,soljars.econ.conditions.AIFreedomFighters,"Long abandoned by their makers, automated partisan units still fight a lonely war against oppression on $market. They roam the wastes, identifying intact infrastructure as symbols of tyranny and executing sabotage protocols with revolutionary zeal.",graphics/icons/markets/ai_freedom_fighters.png,3059
Automated Guards,sol_ai_security_systems_complete,,,,soljars.econ.conditions.AISecuritySystemsComplete,"Remarkably, the security grid is intact - and now, it belongs to you. With the IFF protocols rewritten, the grid provides a reliable, low-maintenance supplement to the colony's standard security and ground defenses.",graphics/icons/markets/ai_security_systems.png,3059
Automated Security Systems,sol_ai_security_systems,,,,soljars.econ.conditions.AISecuritySystems,"Remarkably, the security grid on $market has survived the collapse completely intact. Unfortunately, it registers your colony as a trespassing entity. Until the command codes are broken, the grid will work to suppress the population.",graphics/icons/markets/ai_security_systems.png,3060
,,,,,,,,
La Entreprise Chic HQ,sol_lechq,,,,soljars.econ.conditions.LECQHQ,"Materials recovered show that right up to the scouring of the Uranian system, the moons were known for their quality, style, and exorbitant markup. One corporate enclave stood above the rest, headquartered on $market, and between the craters that now dot the landscape some of their offices remain suprisingly intact, containing the templates and corporate culture enforcement system necessary to design and produce luxury goods that still command a fortune in the Core Worlds.",,3064
Le Polonomics HQ,sol_lphhq,,,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Vast vats are tended to by the decendents of Tyson Agonomics. When asked what is being grown inside they say it's the meat of an ancient earth bird called a chicken, however some in your crew - to the frustration from the vat tenders that it's actually the inverse - say it tastes like human flesh.",,3064
,,,,,,,,
Improvised Hydroponics,sol_improvised_hydroponics,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Arrays of machinery and support systems attempt to support plant life on $market, but the farms are in a prolonged state of ecological collapse, kept going more through hasty genemods and machinery retrofits than by existing at a point of stability.",graphics/icons/markets/sol_farmland_hydroponics.png,70
No Atmosphere,sol_no_atmosphere_bodgejob,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"No appreciable atmosphere exists on $market. Its surface is exposed to the hard weathering of space, a steady drizzle of radiation and micrometeorites.",graphics/icons/markets/atmosphere_none.png,27
,,,,,,,,
World War,sol_world_war,,,,soljars.econ.conditions.WorldWar,"Bands of light ripple accross the night sky on $market like aurorae, thier ebb and flow the product of immense offensives and counteroffenses as a global conflict rages. While the technology involved is relatively primitive, the principle factions command more people and resources than the Hegemony. This sheer volume of fire makes establishing an enclave on $market a tenous, albeit lucrative, prospect.",graphics/icons/markets/world_war.png,3056
Antimatter Nonproliferation Treaty Signatory,sol_antimatter_nonproliferation_treaty_signatory,,,,soljars.econ.conditions.AntimatterNonproliferationTreatySignatory,,graphics/icons/markets/volatiles_depot.png,3057
Antimatter Arms Race,sol_antimatter_nonproliferation_treaty_breacher,,,,soljars.econ.conditions.AntimatterNonproliferationTreatyBreacher,,graphics/icons/markets/am_fuel_facility.png,3058
Cradle of Ash,sol_cradle_of_ash,,,,soljars.econ.conditions.CradleOfAsh,,graphics/icons/markets/uninhabitable.png,3059
Civilised World,sol_civilised_world,,,,soljars.econ.conditions.CivilisedWorld,,graphics/icons/markets/capital.png,3060
Civilised Subpopulation,sol_civilised_subpop,,,,soljars.econ.conditions.CivilisedSubpop,,graphics/icons/markets/capital.png,3060
,,,,,,,,
Oort Strikes,sol_oort_strikes,,,,soljars.econ.conditions.OortStrikes,"Centuries - or millennia - ago, an unknown entity spent their time deep in the black, nudging comets deep in the Oort onto a trajectory towards the $market. 
Their investment is also in the black as $market was rendered bare by a doom delivered on thoughtless Keplerian trajectories.",graphics/icons/markets/sol_oort_strike.png,3062
Subsurface Ocean,sol_subsurface_ocean,,TRUE,,soljars.econ.conditions.SubsurfaceOcean,Beneath $market's icy shell lies a subsurface ocean that is at the very edge of habitable. Using niche organisms and technologies a surbsurface farm can be established here at extreme expense and inefficiency.,graphics/icons/markets/subsurface_ocean.png,3063
Porus,sol_porus,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market has an extremely low density, making all deposits unworkable, and necessitating the application of achimedian principles to even the most basic constructions, lest they sink below the surface with every vibration. ",graphics/icons/markets/sol_porus.png,3064
Statically Charged,sol_static_charge,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The mass of $market is desperate for a neutral charge, desperate enough to cross the void and shock anything that comes nearby. Dust practically fuses to anything it touches, creating a unique hazard for a non-irradiated world.",graphics/icons/markets/sol_static_charge.png,3065
,,,,,,,,
Frozen Atmosphere,sol_frozen_atmosphere,,TRUE,,soljars.econ.conditions.FrozenAtmosphere,,graphics/icons/markets/sol_frozen_atmosphere.png,28
Tenous Atmosphere,sol_tenous_atmosphere,,TRUE,,soljars.econ.conditions.TenousAtmosphere,,graphics/icons/markets/sol_warm_atmosphere.png,28
Polar Atmospheric Ice,sol_frozen_atmosphere_polar,,TRUE,,soljars.econ.conditions.FrozenAtmospherePolar,,graphics/icons/markets/sol_polar_atmosphere.png,29
,,,,,,,,
Extreme Comet,sol_comet_extreme,,TRUE,,soljars.econ.conditions.CometExtreme,,graphics/icons/markets/sol_comet_extreme.png,9999
Active Comet,sol_comet_active,,TRUE,,soljars.econ.conditions.CometActive,,graphics/icons/markets/sol_comet_active.png,9999
Inactive Comet,sol_comet_inactive,,TRUE,,soljars.econ.conditions.CometInactive,,graphics/icons/markets/sol_comet_inactive.png,9999
,,,,,,,,
Jagged Terrain,sol_jagged_terrain,,TRUE,,soljars.econ.conditions.JaggedTerrain,"The surface of $market is exceptionally rough, complicating surface transportation to a near infeasable degree.",graphics/icons/markets/sol_jagged_terrain.png,26
